Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2021-12-06,Everton,Arsenal,2.0,1.0,H,78,78,78,77,80,82,80,77,-2
2021-12-10,Brentford,Watford,2.0,1.0,H,74,74,75,74,74,75,75,73,0
2021-12-11,Man City,Wolves,1.0,0.0,H,85,84,87,86,78,79,80,78,7
2021-12-11,Arsenal,Southampton,3.0,0.0,H,80,82,80,77,76,75,77,76,4
2021-12-11,Chelsea,Leeds,3.0,2.0,H,84,83,86,83,76,77,78,75,8
2021-12-11,Liverpool,Aston Villa,1.0,0.0,H,85,86,84,85,78,79,78,79,7
2021-12-11,Norwich,Man United,0.0,1.0,A,73,75,73,73,83,85,83,81,-10
2021-12-12,Burnley,West Ham,0.0,0.0,D,76,77,75,76,79,80,78,78,-3
2021-12-12,Leicester,Newcastle,4.0,0.0,H,80,80,81,79,77,77,77,77,3
2021-12-12,Crystal Palace,Everton,3.0,1.0,H,76,76,76,75,78,78,78,77,-2
2021-12-14,Norwich,Aston Villa,0.0,2.0,A,73,75,73,73,78,79,78,79,-5
2021-12-14,Man City,Leeds,7.0,0.0,H,85,84,87,86,76,77,78,75,9
2021-12-15,Brighton,Wolves,0.0,1.0,A,76,77,75,76,78,79,80,78,-2
2021-12-15,Crystal Palace,Southampton,2.0,2.0,D,76,76,76,75,76,75,77,76,0
2021-12-15,Arsenal,West Ham,2.0,0.0,H,80,82,80,77,79,80,78,78,1
2021-12-16,Chelsea,Everton,1.0,1.0,D,84,83,86,83,78,78,78,77,6
2021-12-16,Liverpool,Newcastle,3.0,1.0,H,85,86,84,85,77,77,77,77,8
2021-12-18,Leeds,Arsenal,1.0,4.0,A,76,77,78,75,80,82,80,77,-4
2021-12-19,Newcastle,Man City,0.0,4.0,A,77,77,77,77,85,84,87,86,-8
2021-12-19,Wolves,Chelsea,0.0,0.0,D,78,79,80,78,84,83,86,83,-6
2021-12-19,Tottenham,Liverpool,2.0,2.0,D,81,83,80,79,85,86,84,85,-4
2021-12-26,Man City,Leicester,6.0,3.0,H,85,84,87,86,80,80,81,79,5
2021-12-26,Norwich,Arsenal,0.0,5.0,A,73,75,73,73,80,82,80,77,-7
2021-12-26,Tottenham,Crystal Palace,3.0,0.0,H,81,83,80,79,76,76,76,75,5
2021-12-26,West Ham,Southampton,2.0,3.0,A,79,80,78,78,76,75,77,76,3
2021-12-26,Aston Villa,Chelsea,1.0,3.0,A,78,79,78,79,84,83,86,83,-6
2021-12-26,Brighton,Brentford,2.0,0.0,H,76,77,75,76,74,74,75,74,2
2021-12-27,Newcastle,Man United,1.0,1.0,D,77,77,77,77,83,85,83,81,-6
2021-12-28,Crystal Palace,Norwich,3.0,0.0,H,76,76,76,75,73,75,73,73,3
2021-12-28,Southampton,Tottenham,1.0,1.0,D,76,75,77,76,81,83,80,79,-5
2021-12-28,Watford,West Ham,1.0,4.0,A,74,75,75,73,79,80,78,78,-5
2021-12-28,Leicester,Liverpool,1.0,0.0,H,80,80,81,79,85,86,84,85,-5
2021-12-29,Chelsea,Brighton,1.0,1.0,D,84,83,86,83,76,77,75,76,8
2021-12-29,Brentford,Man City,0.0,1.0,A,74,74,75,74,85,84,87,86,-11
2021-12-30,Man United,Burnley,3.0,1.0,H,83,85,83,81,76,77,75,76,7
2022-01-01,Arsenal,Man City,1.0,2.0,A,80,82,80,77,85,84,87,86,-5
2022-01-01,Watford,Tottenham,0.0,1.0,A,74,75,75,73,81,83,80,79,-7
2022-01-01,Crystal Palace,West Ham,2.0,3.0,A,76,76,76,75,79,80,78,78,-3
2022-01-02,Brentford,Aston Villa,2.0,1.0,H,74,74,75,74,78,79,78,79,-4
2022-01-02,Everton,Brighton,2.0,3.0,A,78,78,78,77,76,77,75,76,2
2022-01-02,Leeds,Burnley,3.0,1.0,H,76,77,78,75,76,77,75,76,0
2022-01-02,Chelsea,Liverpool,2.0,2.0,D,84,83,86,83,85,86,84,85,-1
2022-01-03,Man United,Wolves,0.0,1.0,A,83,85,83,81,78,79,80,78,5
2022-01-11,Southampton,Brentford,4.0,1.0,H,76,75,77,76,74,74,75,74,2
2022-01-12,West Ham,Norwich,2.0,0.0,H,79,80,78,78,73,75,73,73,6
2022-01-14,Brighton,Crystal Palace,1.0,1.0,D,76,77,75,76,76,76,76,75,0
2022-01-15,Man City,Chelsea,1.0,0.0,H,85,84,87,86,84,83,86,83,1
2022-01-15,Newcastle,Watford,1.0,1.0,D,77,77,77,77,74,75,75,73,3
2022-01-15,Norwich,Everton,2.0,1.0,H,73,75,73,73,78,78,78,77,-5
2022-01-15,Wolves,Southampton,3.0,1.0,H,78,79,80,78,76,75,77,76,2
2022-01-15,Aston Villa,Man United,2.0,2.0,D,78,79,78,79,83,85,83,81,-5
2022-01-16,Liverpool,Brentford,3.0,0.0,H,85,86,84,85,74,74,75,74,11
2022-01-16,West Ham,Leeds,2.0,3.0,A,79,80,78,78,76,77,78,75,3
2022-01-18,Brighton,Chelsea,1.0,1.0,D,76,77,75,76,84,83,86,83,-8
2022-01-19,Leicester,Tottenham,2.0,3.0,A,80,80,81,79,81,83,80,79,-1
2022-01-19,Brentford,Man United,1.0,3.0,A,74,74,75,74,83,85,83,81,-9
2022-01-21,Watford,Norwich,0.0,3.0,A,74,75,75,73,73,75,73,73,1
2022-01-22,Everton,Aston Villa,0.0,1.0,A,78,78,78,77,78,79,78,79,0
2022-01-22,Brentford,Wolves,1.0,2.0,A,74,74,75,74,78,79,80,78,-4
2022-01-22,Leeds,Newcastle,0.0,1.0,A,76,77,78,75,77,77,77,77,-1
2022-01-22,Man United,West Ham,1.0,0.0,H,83,85,83,81,79,80,78,78,4
2022-01-22,Southampton,Man City,1.0,1.0,D,76,75,77,76,85,84,87,86,-9
2022-01-23,Arsenal,Burnley,0.0,0.0,D,80,82,80,77,76,77,75,76,4
2022-01-23,Crystal Palace,Liverpool,1.0,3.0,A,76,76,76,75,85,86,84,85,-9
2022-01-23,Leicester,Brighton,1.0,1.0,D,80,80,81,79,76,77,75,76,4
2022-01-23,Chelsea,Tottenham,2.0,0.0,H,84,83,86,83,81,83,80,79,3
2022-02-05,Burnley,Watford,0.0,0.0,D,76,77,75,76,74,75,75,73,2
2022-02-08,Newcastle,Everton,3.0,1.0,H,77,77,77,77,78,78,78,77,-1
2022-02-08,West Ham,Watford,1.0,0.0,H,79,80,78,78,74,75,75,73,5
2022-02-08,Burnley,Man United,1.0,1.0,D,76,77,75,76,83,85,83,81,-7
2022-02-09,Man City,Brentford,2.0,0.0,H,85,84,87,86,74,74,75,74,11
2022-02-09,Norwich,Crystal Palace,1.0,1.0,D,73,75,73,73,76,76,76,75,-3
2022-02-09,Tottenham,Southampton,2.0,3.0,A,81,83,80,79,76,75,77,76,5
2022-02-09,Aston Villa,Leeds,3.0,3.0,D,78,79,78,79,76,77,78,75,2
2022-02-10,Liverpool,Leicester,2.0,0.0,H,85,86,84,85,80,80,81,79,5
2022-02-10,Wolves,Arsenal,0.0,1.0,A,78,79,80,78,80,82,80,77,-2
2022-02-12,Man United,Southampton,1.0,1.0,D,83,85,83,81,76,75,77,76,7
2022-02-12,Brentford,Crystal Palace,0.0,0.0,D,74,74,75,74,76,76,76,75,-2
2022-02-12,Everton,Leeds,3.0,0.0,H,78,78,78,77,76,77,78,75,2
2022-02-12,Watford,Brighton,0.0,2.0,A,74,75,75,73,76,77,75,76,-2
2022-02-12,Norwich,Man City,0.0,4.0,A,73,75,73,73,85,84,87,86,-12
2022-02-13,Burnley,Liverpool,0.0,1.0,A,76,77,75,76,85,86,84,85,-9
2022-02-13,Newcastle,Aston Villa,1.0,0.0,H,77,77,77,77,78,79,78,79,-1
2022-02-13,Tottenham,Wolves,0.0,2.0,A,81,83,80,79,78,79,80,78,3
2022-02-13,Leicester,West Ham,2.0,2.0,D,80,80,81,79,79,80,78,78,1
2022-02-15,Man United,Brighton,2.0,0.0,H,83,85,83,81,76,77,75,76,7
2022-02-19,West Ham,Newcastle,1.0,1.0,D,79,80,78,78,77,77,77,77,2
2022-02-19,Arsenal,Brentford,2.0,1.0,H,80,82,80,77,74,74,75,74,6
2022-02-19,Aston Villa,Watford,0.0,1.0,A,78,79,78,79,74,75,75,73,4
